Deputado,Partido,Estado,Votou,Defendeu Voto Secreto
AJ Albuquerque,PP,CE,Sim,Sim
Acácio Favacho,MDB,AP,Sim,Sim
Adail Filho,Republican,AM,Sim,Sim
Adilson Barroso,PL,SP,Sim,Sim
Adolfo Viana,PSDB,BA,Sim,Sim
Adriana Ventura,Novo,SP,Não,Não
Adriano do Baldy,PP,GO,Sim,Sim
Aécio Neves,PSDB,MG,Não,Não
Afonso Hamm,PP,RS,Sim,Sim
Aguinaldo Ribeiro,PP,PB,Sim,Sim
Airton Faleiro,PT,PA,Não,Não
Alberto Fraga,PL,DF,Sim,Sim
Albuquerque,Republican,RR,Sim,Sim
Alceu Moreira,MDB,RS,Sim,Sim
Alencar Santana,PT,SP,Não,Não
Alex Manente,Cidadania,SP,Sim,Sim
Alexandre Guimarãe,MDB,TO,Sim,Sim
Alfredinho,PT,SP,Sim,Sim
Alice Portugal,PCdoB,BA,Não,Não
Aliel Machado,PV,PR,Sim,Não
Aline Gurgel,Republican,AP,Sim,Sim
Allan Garcês,PP,MA,Sim,Sim
Altineu Côrtes,PL,RJ,Sim,Sim
Aluisio Mendes,Republican,MA,Sim,Sim
Amanda Gentil,PP,MA,Sim,Sim
Amaro Neto,Republican,ES,Sim,Sim
Amom Mandel,Cidadania,AM,Não,Não
Ana Paula Leão,PP,MG,Sim,Sim
Ana Paula Lima,PT,SC,Não,Não
Ana Pimentel,PT,MG,Não,Não
André Abdon,PP,AP,Sim,Sim
André Fernandes,PL,CE,Sim,Sim
André Ferreira,PL,PE,Sim,Sim
André Figueiredo,PDT,CE,Sim,Não
Andreia Siqueira,MDB,PA,Sim,Sim
Antônia Lúcia,Republican,AC,Sim,Sim
Antonio Andrade,Republican,TO,Sim,Sim
Antonio Brito,PSD,BA,Não,
Antonio Carlos R.,PL,SP,Sim,Sim
Antônio Doido,MDB,PA,Sim,Sim
Any Ortiz,Cidadania,RS,Sim,Não
Arlindo  Chinaglia,PT,SP,Não,Não
Arnaldo Jardim,Cidadania,SP,Sim,Sim
Arthur Lira,PP,AL,Sim,Sim
Arthur O. Maia,União,BA,Sim,Sim
Átila Lins,PSD,AM,Não,Não
Átila Lira,PP,PI,Sim,Sim
Augusto Coutinho,Republican,PE,Sim,Sim
Aureo Ribeiro,Solidaried,RJ,Sim,Sim
Bacelar,PV,BA,Sim,Não
Baleia Rossi,MDB,SP,Não,
Bandeira de Mello,PSB,RJ,Não,Não
Bebeto,PP,RJ,Sim,Sim
Benedita da Silva,PT,RJ,Não,Não
Benes Leocádio,União,RN,Sim,Não
Beto Pereira,PSDB,MS,Sim,Não
Beto Richa,PSDB,PR,Sim,Sim
Bia Kicis,PL,DF,Sim,Sim
Bibo Nunes,PL,RS,Sim,Sim
Bohn Gass,PT,RS,Não,Não
Bruno Farias,Avante,MG,Sim,Sim
Bruno Ganem,Podemos,SP,Sim,Sim
Caio Vianna,PSD,RJ,Não,Não
Cap. Alberto Neto,PL,AM,Sim,Sim
Capitão Alden,PL,BA,Sim,Sim
Carla Dickson,União,RN,Sim,Sim
Carlos Gaguim,União,TO,Sim,Sim
Carlos Jordy,PL,RJ,Sim,Sim
Carlos Sampaio,PSD,SP,Não,Não
Carlos Veras,PT,PE,Não,Não
Carlos Zarattini,PT,SP,Não,Não
Caroline de Toni,PL,SC,Sim,Não
Castro Neto,PSD,PI,Sim,Sim
Cb Gilberto Silva,PL,PB,Sim,Sim
Cel. Chrisóstomo,PL,RO,Sim,Sim
Célia Xakriabá,PSOL,MG,Não,Não
Célio Silveira,MDB,GO,Sim,Sim
Célio Studart,PSD,CE,Não,
Celso Russomanno,Republican,SP,Sim,Sim
Cezinha Madureira,PSD,SP,Sim,Sim
Charles Fernandes,PSD,BA,Não,Não
Chico Alencar,PSOL,RJ,Não,Não
Chris Tonietto,PL,RJ,Sim,Sim
Clarissa Tércio,PP,PE,Sim,Sim
Claudio Cajado,PP,BA,Sim,Sim
Cleber Verde,MDB,MA,Sim,Sim
Clodoaldo Magalhãe,PV,PE,Não,Não
Cobalchini,MDB,SC,Sim,Sim
Coronel Assis,União,MT,Sim,Não
Coronel Fernanda,PL,MT,Sim,Sim
Coronel Meira,PL,PE,Sim,Sim
Coronel Ulysses,União,AC,Sim,Sim
Covatti Filho,PP,RS,Sim,Sim
Cristiane Lopes,União,RO,Não,Não
Da Vitoria,PP,ES,Sim,Sim
Daiana Santos,PCdoB,RS,Não,Não
Dal Barreto,União,BA,Sim,Sim
Damião Feliciano,União,PB,Sim,Sim
Dani Cunha,União,RJ,Sim,Sim
Daniel Agrobom,PL,GO,Sim,Não
Daniel Almeida,PCdoB,BA,Não,Não
Daniel Barbosa,PP,AL,Não,
Daniel Freitas,PL,SC,Sim,Sim
Daniel Trzeciak,PSDB,RS,Não,Não
Daniela Reinehr,PL,SC,Sim,Sim
Daniela Waguinho,União,RJ,Não,Não
Danilo Forte,União,CE,Sim,Não
Danrlei,PSD,RS,Sim,Não
David Soares,União,SP,Sim,Não
Dayany Bittencourt,União,CE,Sim,Não
Def. Stélio Dener,Republican,RR,Sim,Sim
Del. Adriana A.,PT,GO,Não,
Del. Bruno Lima,PP,SP,Não,Não
Del. Éder Mauro,PL,PA,Sim,Sim
Del. Fabio Costa,PP,AL,Sim,Sim
Del. Matheus L.,União,PR,Sim,Sim
Delegada Ione,Avante,MG,Sim,Sim
Delegada Katarina,PSD,SE,Não,Não
Delegado Bilynskyj,PL,SP,Sim,Sim
Delegado Caveira,PL,PA,Sim,Sim
Delegado Marcelo,União,MG,Sim,Sim
Delegado Palumbo,MDB,SP,Não,Não
Delegado Ramagem,PL,RJ,Sim,Sim
Delegado da Cunha,PP,SP,Sim,Sim
Denise Pessôa,PT,RS,Não,Não
Detinha,PL,MA,Sim,Sim
Diego Andrade,PSD,MG,Sim,
Diego Coronel,PSD,BA,Sim,Sim
Diego Garcia,Republican,PR,Sim,Sim
Dilceu Sperafico,PP,PR,Sim,Sim
Dilvanda Faro,PT,PA,Sim,Sim
Dimas Fabiano,PP,MG,Sim,Sim
Dimas Gadelha,PT,RJ,Não,Não
Domingos Sávio,PL,MG,Sim,Sim
Dorinaldo Malafaia,PDT,AP,Não,Não
Douglas Viegas,União,SP,Não,Não
Doutor Luizinho,PP,RJ,Sim,Sim
Dr Fernando Máximo,União,RO,Sim,Sim
Dr Victor Linhalis,Podemos,ES,Sim,Sim
Dr. Francisco,PT,PI,Sim,Não
Dr. Frederico,PRD,MG,Sim,Sim
Dr. Ismael Alexand,PSD,GO,Sim,Sim
Dr. Jaziel,PL,CE,Sim,Sim
Dr. Luiz Ovando,PP,MS,Sim,Sim
Dr.Zacharias Calil,União,GO,Sim,Não
Dra. Alessandra H.,MDB,PA,Sim,Sim
Duarte Jr.,PSB,MA,Não,Não
Duda Ramos,MDB,RR,Sim,Sim
Duda Salabert,PDT,MG,Não,Não
Eduardo Velloso,União,AC,Sim,Sim
Eduardo da Fonte,PP,PE,Sim,Sim
Eli Borges,PL,TO,Sim,Sim
Elmar Nascimento,União,BA,Sim,Sim
Ely Santos,Republican,SP,Sim,Sim
Emanuel Pinheiro N,MDB,MT,Não,Sim
Enf. Ana Paula,Podemos,CE,Sim,Sim
Enfermeira Rejane,PCdoB,RJ,Não,Não
Eriberto Medeiros,PSB,PE,Sim,Não
Erika Hilton,PSOL,SP,Não,Não
Erika Kokay,PT,DF,Não,Não
Eros Biondini,PL,MG,Sim,Sim
Euclydes Pettersen,Republican,MG,Sim,
Evair de Melo,PP,ES,Sim,Sim
Fábio Macedo,Podemos,MA,Sim,Sim
Fabio Reis,PSD,SE,Não,Não
Fabio Schiochet,União,SC,Sim,Sim
Fábio Teruel,MDB,SP,Sim,Sim
Fausto Pinato,PP,SP,Sim,Sim
Fausto Santos Jr.,União,AM,Sim,Sim
Felipe Becari,União,SP,Sim,Sim
Felipe Carreras,PSB,PE,Sim,Não
Felipe Francischin,União,PR,Sim,Sim
Félix Mendonça Jr,PDT,BA,Sim,Não
Fernanda Pessôa,União,CE,Sim,Sim
FernandaMelchionna,PSOL,RS,Não,Não
Fernando Coelho,União,PE,Sim,Sim
Fernando Mineiro,PT,RN,Não,Não
Fernando Monteiro,Republican,PE,Sim,Sim
Fernando Rodolfo,PL,PE,Sim,Sim
Filipe Barros,PL,PR,Sim,Sim
Filipe Martins,PL,TO,Sim,Sim
Flávia Morais,PDT,GO,Não,Não
Flávio Nogueira,PT,PI,Sim,Não
Florentino Neto,PT,PI,Sim,Não
Franciane Bayer,Republican,RS,Sim,Sim
Fred Costa,PRD,MG,Sim,Sim
Fred Linhares,Republican,DF,Sim,Sim
Gabriel Mota,Republican,RR,Sim,Sim
Gabriel Nunes,PSD,BA,Sim,Sim
General Girão,PL,RN,Sim,Sim
General Pazuello,PL,RJ,Sim,Sim
Geovania de Sá,PSDB,SC,Sim,Sim
Geraldo Mendes,União,PR,Sim,Sim
Geraldo Resende,PSDB,MS,Não,Não
Gervásio Maia,PSB,PB,Sim,Não
Giacobo,PL,PR,Sim,Sim
Gilberto Abramo,Republican,MG,Sim,Sim
GilbertoNascimento,PSD,SP,Sim,Sim
Gilson Daniel,Podemos,ES,Não,Não
Gilson Marques,Novo,SC,Não,Não
Gilvan da Federal,PL,ES,Sim,Sim
Giovani Cherini,PL,RS,Sim,Sim
Gisela Simona,União,MT,Sim,Não
Glauber Braga,PSOL,RJ,Não,Não
Greyce Elias,Avante,MG,Sim,Sim
Guilherme Boulos,PSOL,SP,Não,Não
Guilherme Uchoa,PSB,PE,Sim,Não
Gustavo Gayer,PL,GO,Sim,Sim
Gustinho Ribeiro,Republican,SE,Sim,Sim
Gutemberg Reis,MDB,RJ,Sim,Sim
Helder Salomão,PT,ES,Não,Não
Helena Lima,MDB,RR,Sim,Sim
Helio Lopes,PL,RJ,Sim,Sim
Henderson Pinto,MDB,PA,Sim,Sim
Hercílio Diniz,MDB,MG,Sim,Sim
Hildo Rocha,MDB,MA,Sim,Sim
Hugo Leal,PSD,RJ,Sim,Não
Hugo Motta,Republican,PB,Sim,Sim
Igor Timo,PSD,MG,Sim,Sim
Ismael,PSD,SC,Sim,Sim
Isnaldo Bulhões Jr,MDB,AL,Sim,Sim
Ivan Valente,PSOL,SP,Não,Não
Ivoneide Caetano,PT,BA,Não,Não
Jack Rocha,PT,ES,Não,Não
Jadyel Alencar,Republican,PI,Sim,Sim
Jandira Feghali,PCdoB,RJ,Não,Não
Jeferson Rodrigues,Republican,GO,Sim,Sim
Jefferson Campos,PL,SP,Sim,Sim
Jilmar Tatto,PT,SP,Sim,Sim
João Cury,MDB,SP,Sim,Sim
João Daniel,PT,SE,Não,Sim
João Maia,PP,RN,Sim,Sim
Joaquim Passarinho,PL,PA,Sim,Sim
Jonas Donizette,PSB,SP,Sim,Não
Jorge Braz,Republican,RJ,Sim,Sim
Jorge Goetten,Republican,SC,Sim,Sim
Jorge Solla,PT,BA,Não,
José Medeiros,PL,MT,Sim,Sim
José Nelto,União,GO,Sim,
José Priante,MDB,PA,Sim,Sim
José Rocha,União,BA,Sim,Sim
Joseildo Ramos,PT,BA,Não,Não
Josias Gomes,PT,BA,Não,Não
JosimarMaranhãozi,PL,MA,Sim,Sim
Josivaldo JP,PSD,MA,Sim,Não
Juarez Costa,MDB,MT,Não,Não
Julia Zanatta,PL,SC,Sim,Sim
Juliana Cardoso,PT,SP,Não,Não
Julio Arcoverde,PP,PI,Sim,Sim
Júlio Cesar,PSD,PI,Sim,Sim
Julio Cesar Ribeir,Republican,DF,Sim,Sim
Julio Lopes,PP,RJ,Sim,Sim
Juninho do Pneu,União,RJ,Sim,Sim
Junio Amaral,PL,MG,Sim,Sim
Júnior Ferrari,PSD,PA,Não,Não
Junior Lourenço,PL,MA,Sim,Sim
Júnior Mano,PSB,CE,Sim,Sim
Juscelino Filho,União,MA,Sim,Sim
Kiko Celeguim,PT,SP,Sim,Sim
Kim Kataguiri,União,SP,Não,Não
Lafayette Andrada,Republican,MG,Sim,Sim
Laura Carneiro,PSD,RJ,Não,Não
Lêda Borges,PSDB,GO,Sim,Sim
Lenir de Assis,PT,PR,Não,Não
Leo Prates,PDT,BA,Sim,
Leonardo Monteiro,PT,MG,Não,Não
Leur Lomanto Jr.,União,BA,Sim,Sim
Lídice da Mata,PSB,BA,Não,Não
Lincoln Portela,PL,MG,Sim,Sim
Lindbergh Farias,PT,RJ,Não,Não
Lindenmeyer,PT,RS,Não,Não
Lucas Ramos,PSB,PE,Sim,Não
Lucas Redecker,PSDB,RS,Não,Não
Luciano Alves,PSD,PR,Não,Não
Luciano Amaral,PSD,AL,Sim,Sim
Luciano Bivar,União,PE,Sim,Sim
Luciano Ducci,PSB,PR,Não,Não
Luciano Vieira,Republican,RJ,Sim,Sim
Luis Carlos Gomes,Republican,RJ,Sim,Sim
Luis Tibé,Avante,MG,Sim,Sim
Luisa Canziani,PSD,PR,Sim,Sim
Luiz Carlos Busato,União,RS,Sim,Sim
Luiz Carlos Hauly,Podemos,PR,Não,Não
Luiz Carlos Motta,PL,SP,Sim,Sim
Luiz Couto,PT,PB,Não,Não
Luiz F. Vampiro,MDB,SC,Sim,Sim
Luiz Fernando,PSD,MG,Sim,Sim
Luiz Gastão,PSD,CE,Não,Não
Luiz Lima,Novo,RJ,Não,Não
Luiz Nishimori,PSD,PR,Não,
LuizAntônioCorrêa,PP,RJ,Sim,Sim
Luiza Erundina,PSOL,SP,Não,Não
Lula da Fonte,PP,PE,Sim,Sim
Magda Mofatto,PRD,GO,Sim,Sim
Marangoni,União,SP,Sim,Sim
Marcel van Hattem,Novo,RS,Não,Não
Marcelo Álvaro,PL,MG,Sim,Sim
Marcelo Crivella,Republican,RJ,Sim,Sim
Marcelo Moraes,PL,RS,Sim,Sim
Marcio Alvino,PL,SP,Sim,Sim
Márcio Biolchi,MDB,RS,Sim,Sim
Márcio Honaiser,PDT,MA,Sim,Sim
Márcio Jerry,PCdoB,MA,Não,Não
Márcio Marinho,Republican,BA,Sim,Sim
Marcon,PT,RS,Não,Não
Marcos A. Sampaio,PSD,PI,Sim,
Marcos Pereira,Republican,SP,Sim,Sim
Marcos Pollon,PL,MS,Sim,Sim
Marcos Soares,União,RJ,Sim,Não
Marcos Tavares,PDT,RJ,Sim,Não
Maria Arraes,Solidaried,PE,Não,Não
Maria Rosas,Republican,SP,Sim,Sim
Maria do Rosário,PT,RS,Não,Não
Mario Frias,PL,SP,Sim,Sim
Mário Heringer,PDT,MG,Sim,Sim
Mário Negromonte J,PP,BA,Sim,Sim
Marreca Filho,PRD,MA,Sim,Sim
Marussa Boldrin,MDB,GO,Sim,Sim
Marx Beltrão,PP,AL,Sim,Sim
Matheus Noronha,PL,CE,Sim,Sim
Maurício Carva lho,União,RO,Sim,Sim
Mauricio Marcon,Podemos,RS,Sim,Sim
Mauricio Neves,PP,SP,Sim,Sim
Mauricio do Vôlei,PL,MG,Sim,Sim
MauroBenevides Fo.,PDT,CE,Sim,Não
Max Lemos,PDT,RJ,Sim,Não
Meire Serafim,União,AC,Sim,Sim
Mendonça Filho,União,PE,Sim,Não
Merlong Solano,PT,PI,Sim,Não
Messias Donato,Republican,ES,Sim,Sim
Miguel Ângelo,PT,MG,Não,Não
Miguel Lombardi,PL,SP,Sim,Não
Mis. José Olimpio,PL,SP,Sim,Sim
Moses Rodrigues,União,CE,Sim,Sim
Murillo Gouvea,União,RJ,Sim,Sim
Murilo Galdino,Republican,PB,Sim,Sim
Natália Bonavides,PT,RN,Não,Não
Nelinho Freitas,MDB,CE,Sim,
Nelson Barbudo,PL,MT,Sim,Sim
Nely Aquino,Podemos,MG,Sim,Sim
Neto Carletto,Avante,BA,Sim,Sim
Newton Cardoso Jr,MDB,MG,Sim,Sim
Nicoletti,União,RR,Sim,Sim
Nikolas Ferreira,PL,MG,Sim,Sim
Nilto Tatto,PT,SP,Não,Não
Odair Cunha,PT,MG,Sim,Sim
Olival Marques,MDB,PA,Sim,Sim
Orlando Silva,PCdoB,SP,Não,Não
Osmar Terra,PL,RS,Sim,Sim
Ossesio Silva,Republican,PE,Sim,Sim
Otoni de Paula,MDB,RJ,Não,Não
Otto Alencar Filho,PSD,BA,Não,Não
Padovani,União,PR,Sim,Sim
Padre João,PT,MG,Não,Não
Pastor Claudio Mar,União,PA,Sim,Sim
Pastor Diniz,União,RR,Sim,Sim
Pastor Eurico,PL,PE,Sim,Sim
Pastor Gil,PL,MA,Sim,Sim
Pastor Henrique V.,PSOL,RJ,Não,Não
Pastor Isidório,Avante,BA,Não,Não
Patrus Ananias,PT,MG,Não,Não
Pauderney Avelino,União,AM,Sim,Sim
Paulão,PT,AL,Não,Não
Paulinho da Força,Solidaried,SP,Sim,Sim
Paulo A. Barbosa,PSDB,SP,Não,Não
Paulo Abi-Ackel,PSDB,MG,Sim,Não
Paulo Azi,União,BA,Sim,Sim
Paulo Folletto,PSB,ES,Sim,Não
Paulo Freire Costa,PL,SP,Sim,Sim
Paulo Guedes,PT,MG,Sim,Sim
Paulo Lemos,PSOL,AP,Não,Não
Paulo Litro,PSD,PR,Sim,
Paulo Magalhães,PSD,BA,Sim,Não
Paulo Pimenta,PT,RS,Não,Não
Pedro A ihara,PRD,MG,Sim,Sim
Pedro Campos,PSB,PE,Sim,Não
Pedro Lucas F.,União,MA,Sim,Sim
Pedro Lupion,PP,PR,Sim,Sim
Pedro Paulo,PSD,RJ,Sim,Sim
Pedro Uczai,PT,SC,Não,
Pedro Westphalen,PP,RS,Sim,Sim
Pezenti,MDB,SC,Sim,Sim
Pinheirinho,PP,MG,Sim,Sim
Pr.Marco Feliciano,PL,SP,Sim,Sim
Prof Marcivania,PCdoB,AP,Não,Não
Prof. Reginaldo V.,PV,DF,Não,Não
Professor Alcides,PL,GO,Sim,Sim
Professora Luciene,PSOL,SP,Não,Não
Rafael Fera,Podemos,RO,Sim,Sim
Rafael Prudente,MDB,DF,Sim,Sim
Rafael Simoes,União,MG,Sim,Sim
Raimundo Costa,Podemos,BA,Sim,Sim
Raimundo Santos,PSD,PA,Sim,Sim
Reginaldo Lopes,PT,MG,Não,Não
Reimont,PT,RJ,Não,Não
Reinhold Stephanes,PSD,PR,Sim,Sim
Renata Abreu,Podemos,SP,Sim,Sim
Renilce Nicodemos,MDB,PA,Sim,Sim
Renildo Calheiros,PCdoB,PE,Não,Não
Ribamar Silva,PSD,SP,Não,Não
Ricardo Abrão,União,RJ,Sim,Sim
Ricardo Ayres,Republican,TO,Sim,Sim
Ricardo Barros,PP,PR,Sim,Sim
Ricardo Guidi,PL,SC,Sim,Sim
Ricardo Maia,MDB,BA,Sim,Não
Robério Monteiro,PDT,CE,Sim,Não
Roberta Roma,PL,BA,Sim,Sim
Roberto Duarte,Republican,AC,Sim,Sim
Roberto Monteiro,PL,RJ,Sim,Sim
Robinson Faria,PP,RN,Sim,Sim
Rodolfo Nogueira,PL,MS,Sim,Sim
Rodrigo Estacho,PSD,PR,Sim,Não
Rodrigo Gambale,Podemos,SP,Sim,Sim
Rodrigo Rollemberg,PSB,DF,Não,Não
Rodrigo Valadares,União,SE,Sim,Sim
Rodrigo da Zaeli,PL,MT,Sim,Sim
Rodrigo de Castro,União,MG,Sim,Sim
Rogéria Santos,Republican,BA,Sim,Sim
Rogério Correia,PT,MG,Não,Não
Romero Rodrigues,Podemos,PB,Sim,Sim
Ronaldo Nogueira,Republican,RS,Sim,Sim
Rosana Valle,PL,SP,Sim,Não
Rosangela Moro,União,SP,Não,Não
Rosângela Reis,PL,MG,Sim,Sim
Rubens Otoni,PT,GO,Não,Não
Rubens Pereira Jr.,PT,MA,Não,Não
Rui Falcão,PT,SP,Não,Não
Ruy Carneiro,Podemos,PB,Não,Não
Sâmia Bomfim,PSOL,SP,Não,Não
Samuel Santos,Podemos,GO,Sim,Sim
Samuel Viana,Republican,MG,Sim,Sim
Sanderson,PL,RS,Sim,Sim
Sargento Fahur,PSD,PR,Sim,Não
Sargento Portugal,Podemos,RJ,Sim,Sim
Saulo Pedroso,PSD,SP,Não,Não
Sergio Souza,MDB,PR,Sim,Sim
Sgt. Gonçalves,PL,RN,Sim,Sim
Sidney Leite,PSD,AM,Não,Não
Silas Câmara,Republican,AM,Sim,Sim
Silvia Cristina,PP,RO,Sim,Sim
Silvye Alves,União,GO,Sim,Não
Simone Marquetto,MDB,SP,Sim,Não
Socorro Neri,PP,AC,Não,Não
Soraya Santos,PL,RJ,Sim,Sim
Sóstenes Cavalcant,PL,RJ,Sim,Sim
Tabata Amaral,PSB,SP,Não,Não
Tadeu Veneri,PT,PR,Não,Não
Talíria Petrone,PSOL,RJ,Não,Não
Tarcísio Motta,PSOL,RJ,Não,Não
Thiago de Joaldo,PP,SE,Sim,Sim
Tiago Dimas,Podemos,TO,Sim,Sim
Tião Medeiros,PP,PR,Sim,Sim
Tiririca,PL,SP,Sim,Sim
ToninhoWandscheer,PP,PR,Sim,Sim
Túlio Gadêl ha,Rede,PE,Não,Não
Valmir Assunção,PT,BA,Não,Sim
Vander Loubet,PT,MS,Não,Não
Vermelho,PP,PR,Sim,Sim
Vicentinho,PT,SP,Não,Não
Vicentinho Júnior,PP,TO,Sim,Sim
Vinicius Carvalho,Republican,SP,Sim,Sim
Vinicius Gurgel,PL,AP,Sim,Sim
Vitor Lippi,PSDB,SP,Não,
Waldemar Oliveira,Avante,PE,Sim,Sim
Waldenor Pereira,PT,BA,Não,Não
Weliton Prado,Solidaried,MG,Não,Sim
Wellington Roberto,PL,PB,Sim,Sim
Welter,PT,PR,Não,Não
Wilson Santiago,Republican,PB,Sim,Não
Yury do Paredão,MDB,CE,Sim,Sim
Zé Adriano,PP,AC,Sim,Sim
Zé Neto,PT,BA,Não,Não
Zé Trovão,PL,SC,Sim,Sim
Zé Vitor,PL,MG,Sim,Sim
ZéHaroldoCathedral,PSD,RR,Não,Não
Zezinho Barbary,PP,AC,Sim,Sim
Zucco,PL,RS,Sim,Sim
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
